Source,Target,weight
Cebpa,Hif1a,0.06950774
Cebpa,Per1,0.06950659
Egr1,Ctnnb1,0.069503695
Stat1,Cebpa,0.06950353
Per1,Stat1,0.06950295
Ets1,Jun,0.06950027
Per1,Hif1a,0.06949915
Relb,Stat1,0.06949772
Cebpb,Jun,0.06949757
Hif1a,Jund,0.0694973
Jund,Nfkb2,0.0694971
Cebpb,Nfkb2,0.06949604
Nfkb2,Ets1,0.069493346
Hif1a,Relb,0.06949249
Stat1,Egr1,0.06949217
Egr1,Cebpb,0.06948829
Ets2,Ets1,0.06948804
Jund,Ctnnb1,0.069486886
Ets2,Relb,0.06948602
Nfkb2,Ctnnb1,0.06948416
Ets2,Sp3,0.06948292
Hif1a,Per1,0.06948145
Ets1,Relb,0.06947895
Ets1,Sp3,0.06947814
Ctnnb1,Cebpb,0.069477834
Jund,Jun,0.069476366
Fos,Egr1,0.06947632
Ets1,Nfkb2,0.06947401
Relb,Ctnnb1,0.06947346
Hif1a,Jun,0.06947265
Egr1,Nfkb2,0.069469355
Jund,Relb,0.069468506
Cebpb,Ets1,0.06946795
Fos,Cebpa,0.06946791
Ctnnb1,Per1,0.06946789
Ctnnb1,Jun,0.069466926
Relb,Ets1,0.06946664
Fos,Nfkb2,0.06946581
Jund,Hif1a,0.069465436
Ctnnb1,Ets1,0.06946301
Cebpb,Relb,0.06946229
Fos,Stat1,0.06946073
Ets1,Egr1,0.0694594
Jund,Sp3,0.0694594
Cebpb,Fos,0.0694592
Ctnnb1,Stat1,0.06945907
Ets1,Ctnnb1,0.06945882
Stat1,Nfkb2,0.06945822
Ets1,Jund,0.06945636
Jun,Cebpa,0.069456115
Relb,Ets2,0.06945486
Jund,Ets1,0.06945398
Egr1,Per1,0.069449484
Relb,Per1,0.069447696
Jund,Cebpa,0.0694471
Jund,Ets2,0.06944576
Relb,Hif1a,0.06944371
Jun,Hif1a,0.06944171
Egr1,Jun,0.06943957
Sp3,Egr1,0.069438934
Hif1a,Nfkb2,0.06943888
Egr1,Cebpa,0.069437675
Egr1,Ets2,0.06943477
Nfkb2,Egr1,0.069434464
Ets2,Per1,0.069434054
Sp3,Per1,0.06943365
Egr1,Relb,0.06943362
Nfkb2,Hif1a,0.06943257
Hif1a,Fos,0.0694317
Sp3,Fos,0.06943069
Jund,Egr1,0.06942963
Ets1,Ets2,0.069429524
Ets2,Cebpa,0.06942814
Jund,Cebpb,0.0694272
Ctnnb1,Relb,0.069425106
Ctnnb1,Egr1,0.069424205
Relb,Jun,0.069422685
Ets1,Hif1a,0.06942247
Nfkb2,Ets2,0.06942089
Ctnnb1,Hif1a,0.06942066
Sp3,Stat1,0.06942057
Ets2,Ctnnb1,0.0694201
Nfkb2,Sp3,0.069419645
Sp3,Jund,0.069419324
Jun,Ctnnb1,0.0694185
Ctnnb1,Fos,0.069416896
Ctnnb1,Cebpa,0.06941541
Nfkb2,Jund,0.06941499
Jun,Ets2,0.06941494
Hif1a,Ets1,0.06941346
Relb,Cebpb,0.069412656
Cebpb,Jund,0.069411166
Jun,Sp3,0.069410756
Jund,Per1,0.069409005
Ets1,Cebpb,0.06940528
Ets1,Fos,0.069403075
Jund,Stat1,0.06940195
Nfkb2,Stat1,0.069401436
