Source,Target,weight
Egr1,Jun,-0.109033772095958
Per1,Ets1,-0.106394928850835
Jun,Fos,-0.10486444783124
Jun,Hif1a,-0.104566025493087
Cebpb,Stat1,0.10272349007675
Ets1,Relb,-0.102494586987927
Relb,Per1,0.100694239074261
Ctnnb1,Sp3,-0.0990718481963607
Ctnnb1,Jun,-0.0988483559372701
Cebpa,Ets1,-0.098722798030586
Jund,Cebpa,-0.0985303213833004
Relb,Ets2,0.0967975707027598
Cebpb,Nfkb2,0.0962519098132914
Nfkb2,Ets2,0.0960927723467991
Egr1,Cebpa,0.0949698080618605
Fos,Jund,0.0918103027720047
Nfkb2,Cebpa,0.0915723926927386
Jund,Ets2,0.091491431338988
Per1,Cebpa,0.0911165462867726
Jund,Nfkb2,0.088629554805617
Egr1,Stat1,-0.0883446751517643
Jun,Ctnnb1,-0.0852587418243171
Relb,Hif1a,0.0845984682427593
Per1,Jun,-0.0845450674697187
Fos,Ets2,-0.0840239734932445
Ets2,Relb,0.0808054174149451
Stat1,Ctnnb1,-0.0796720412262436
Hif1a,Per1,-0.0791169214308985
Cebpb,Sp3,-0.0775805618292454
Ctnnb1,Stat1,-0.0772181245215502
Jun,Egr1,0.0708156675521801
Relb,Cebpa,0.070561147611163
Jun,Ets2,0.0694055470975167
Egr1,Cebpb,-0.0689142557721367
Per1,Stat1,-0.0685567039299652
Sp3,Ctnnb1,0.0674994648128273
Hif1a,Jun,0.0666593866640559
Ets2,Nfkb2,-0.0642095034908606
Jun,Ets1,0.0618783870313351
Nfkb2,Jun,-0.0615446522949391
Ctnnb1,Nfkb2,-0.0612712178401498
Nfkb2,Sp3,-0.0609768082572075
Hif1a,Stat1,0.0603871872825803
Cebpb,Relb,0.0598203996538578
Cebpb,Cebpa,-0.0591705245093094
Sp3,Jun,0.0578877452629304
Ets2,Sp3,-0.0559810629181078
Relb,Jun,-0.0508419699355464
Nfkb2,Stat1,-0.0499885864125172
Jund,Stat1,0.0468369045764463
Per1,Hif1a,-0.0444176598997047
Jund,Per1,-0.0429378752211896
Egr1,Relb,0.0425992717422167
Jund,Jun,0.0420627106420743
Relb,Stat1,-0.0411989544588184
Relb,Sp3,-0.0408689145094836
Jun,Per1,0.0400545702022564
Hif1a,Relb,0.0378090479007141
Ets1,Stat1,-0.035894275832498
Sp3,Stat1,0.0352280332255079
Cebpa,Sp3,-0.0333226144249249
Cebpa,Ctnnb1,0.0321498013949901
Fos,Nfkb2,-0.0316670776413937
Fos,Sp3,-0.030685484006962
Ets1,Jun,-0.0294221904525153
Cebpa,Ets2,-0.0283044191010123
Cebpb,Ets1,-0.0278852775363418
Relb,Nfkb2,-0.0269668631540292
Per1,Relb,0.0264459922311147
Stat1,Relb,-0.0261936016337362
Ctnnb1,Relb,0.0250861542737898
Jun,Sp3,0.0222109598994383
Fos,Cebpa,0.0219907837962541
Jund,Relb,0.0213957475827644
Per1,Sp3,-0.0202594357406369
Per1,Nfkb2,-0.0199019507098306
Fos,Per1,-0.018929161033923
Ets1,Per1,0.0179958389041062
Fos,Ctnnb1,-0.0176183796594678
Egr1,Sp3,0.0150866646358966
Cebpb,Per1,-0.0150290794198152
Fos,Relb,-0.0144747170046643
Jun,Stat1,-0.014381948521393
Cebpa,Fos,-0.0121784749608487
Egr1,Ets1,0.0114704948551979
Cebpa,Nfkb2,-0.0114678661482978
Nfkb2,Relb,0.0112825966350998
Cebpa,Per1,-0.0100613372631787
Jun,Relb,0.0100273658576048
Stat1,Per1,0.00946644456949232
Jun,Nfkb2,0.00909133026971314
Cebpa,Jun,0.00838856335636924
Jun,Cebpa,0.00795186923383244
Cebpa,Stat1,0.00606829525220273
Cebpa,Egr1,-0.004788088771115
Cebpa,Relb,-0.00344220963257892
Stat1,Jun,-0.00285513101514433
Fos,Stat1,0.00151434706621506
Fos,Jun,-0.00110407480776539
Egr1,Nfkb2,-0.000221710805850407
Fos,Egr1,-9.4787295901403e-05
