"","x"
"521","Dnajb14"
"522","Adh5"
"523","Gbp5"
"524","Gbp7"
"525","Gbp2b"
"526","Gbp2"
"527","Pkn2"
"528","Lmo4"
"529","Gm43445"
"530","Selenof"
"531","Spata1"
"532","Prkacb"
"533","Fubp1"
"534","Usp33"
"535","Zzz3"
"536","Pigk"
"537","Acadm"
"538","Zranb2"
"539","Wls"
"540","Tgs1"
"541","Rps20"
"542","Impad1"
"543","Car8"
"544","Chd7"
"545","Asph"
"546","Gm11827"
"547","Osgin2"
"548","Cpne3"
"549","Wwp1"
"550","Ggh"
"551","Manea"
"552","Casp8ap2"
"553","Mdn1"
"554","Lyrm2"
"555","Smim8"
"556","Zfp292"
"557","C9orf72"
"558","Topors"
"559","Smim27"
"560","Dnaja1"
"561","B4galt1"
"562","Ccl21a"
"563","Vcp"
"564","Rgp1"
"565","Reck"
"566","Zcchc7"
"567","Fbxo10"
"568","Tomm5"
"569","Ccdc180"
"570","Ncbp1"
"571","Anp32b"
"572","Nr4a3"
"573","Msantd3"
"574","Rnf20"
"575","Klf4"
"576","Gng10"
"577","Hsdl2"
"578","Slc31a2"
"579","Slc31a1"
"580","Orm1"
"581","Tmem268"
"582","Tlr4"
"583","Megf9"
"584","Tle1"
"585","Ttc39b"
"586","Snapc3"
"587","Rraga"
"588","Plin2"
"589","Rps6"
"590","Tusc1"
"591","Plaa"
"592","Mysm1"
"593","Jun"
"594","Nfia"
"595","Usp1"
"596","Gm12689"
"597","E130102H24Rik"
"598","Pde4b"
"599","Oma1"
"600","Magoh"
"601","Czib"
"602","Cpt2"
"603","Scp2"
"604","Cc2d1b"
"605","Txndc12"
"606","Cmpk1"
"607","Nasp"
"608","Akr1a1"
"609","Prdx1"
"610","Tesk2"
"611","Btbd19"
"612","Plk3"
"613","Rps8"
"614","Gm12840"
"615","Med8"
"616","Slc2a1"
"617","Ybx1"
"618","Zmpste24"
"619","Mycbp"
"620","Rragc"
"621","Utp11"
"622","Fhl3"
"623","Sf3a3"
"624","Inpp5b"
"625","Mtf1"
"626","Zc3h12a"
"627","Oscp1"
"628","Eva1b"
"629","Thrap3"
