Source,Target,weight
Nfkb2,Ets2,0.06936523
Cebpa,Nfkb2,0.06936186
Hif1a,Cebpa,0.06936139
Rel,Jun,0.06936132
Rel,Ets1,0.06935455
Nfkb2,Stat4,0.06935371
Rel,Ets2,0.06935096
Nfkb2,Cebpa,0.06935052
Hif1a,Fos,0.06934921
Rel,Stat1,0.06934851
Per1,Stat1,0.0693475
Rel,Nfkb2,0.06934603
Egr1,Stat1,0.06934599
Ets2,Cebpb,0.069342025
Per1,Ets2,0.069340855
Nfkb1,Rel,0.06934025
Ets2,Hif1a,0.069337346
Nfkb1,Fos,0.0693335
Rel,Nfkb1,0.06933225
Cebpa,Ctnnb1,0.06933201
Ets1,Egr1,0.069330774
Nfkb2,Stat1,0.06932593
Nfkb2,Hif1a,0.069322884
Stat4,Hif1a,0.06931927
Egr1,Cebpa,0.06931819
Ets1,Rel,0.06931631
Nfkb2,Rel,0.06931566
Stat4,Per1,0.06931549
Ets1,Stat4,0.06931515
Nfkb2,Ctnnb1,0.06931187
Egr1,Nfkb1,0.06931181
Nfkb2,Per1,0.06931056
Nfkb1,Ets2,0.069308065
Ets2,Nfkb1,0.06930728
Cebpa,Cebpb,0.06930553
Egr1,Fos,0.0693049
Ets2,Jun,0.06930418
Nfkb1,Stat4,0.06930198
Egr1,Hif1a,0.069296405
Ets1,Ctnnb1,0.069295
Stat4,Egr1,0.06929417
Per1,Egr1,0.06929408
Nfkb1,Ctnnb1,0.06929302
Ets2,Nfkb2,0.06929094
Hif1a,Ctnnb1,0.069288686
Stat4,Cebpb,0.06928809
Ets2,Cebpa,0.06928786
Nfkb1,Cebpb,0.069287114
Ets1,Fos,0.069286354
Rel,Ctnnb1,0.069281854
Stat4,Ets2,0.069280535
Cebpa,Egr1,0.06927946
Ets1,Nfkb2,0.06927869
Cebpa,Per1,0.06927861
Cebpa,Jun,0.06927824
Ets2,Ctnnb1,0.06927555
Rel,Per1,0.06927147
Nfkb1,Ets1,0.06926891
Ets1,Cebpa,0.06926611
Per1,Jun,0.06926435
Per1,Rel,0.06926401
Ets1,Jun,0.06926279
Ets2,Stat1,0.06926262
Per1,Cebpa,0.0692595
Ets2,Egr1,0.06925832
Ets2,Stat4,0.06925195
Ets1,Stat1,0.06925169
Egr1,Ets2,0.069251336
Stat4,Ets1,0.06924811
Egr1,Rel,0.06924804
Nfkb2,Fos,0.069245785
Per1,Fos,0.06924395
Egr1,Ctnnb1,0.06924317
Rel,Egr1,0.06924222
Per1,Nfkb2,0.06923615
Rel,Cebpa,0.06923532
Stat4,Jun,0.069234215
Ets2,Ets1,0.06923347
Nfkb2,Ets1,0.06923215
Ets2,Fos,0.069232136
Nfkb1,Stat1,0.06923134
Stat4,Cebpa,0.069230735
Per1,Stat4,0.06922956
Egr1,Cebpb,0.0692283
Ets1,Ets2,0.069227
Per1,Ets1,0.06922615
Stat4,Stat1,0.069226064
Nfkb1,Egr1,0.0692248
Egr1,Per1,0.06922281
Per1,Ctnnb1,0.069216855
Ets1,Hif1a,0.06921589
Nfkb1,Nfkb2,0.069214135
Egr1,Stat4,0.06920451
Stat4,Nfkb2,0.06920349
Stat4,Nfkb1,0.06920276
Per1,Cebpb,0.06919632
Nfkb1,Per1,0.06919559
Nfkb2,Cebpb,0.06919304
Egr1,Ets1,0.069192536
Nfkb2,Egr1,0.069191426
Nfkb2,Nfkb1,0.069189385
Egr1,Jun,0.06918776
Egr1,Nfkb2,0.069186166
Per1,Nfkb1,0.06918577
Ets2,Per1,0.06918412
Stat4,Rel,0.06918288
Rel,Cebpb,0.06918215
Nfkb2,Jun,0.06918127
Rel,Fos,0.06918117
Nfkb1,Jun,0.06918097
Stat4,Ctnnb1,0.06917623
Rel,Hif1a,0.06917255
Stat4,Fos,0.06917191
Ets2,Rel,0.06917085
Per1,Hif1a,0.06916759
Nfkb1,Hif1a,0.06916724
Nfkb1,Cebpa,0.069136
