"seed","total_edges","network","AUPRC","AUROC"
3646,33,2,0.702556945977998,0.877777777777778
3646,36,1,0.781737961910376,0.940972222222222
3646,36,2,0.669162151705255,0.791666666666667
3646,39,1,0.810483741404794,0.955555555555555
3646,39,2,0.65476929116635,0.861111111111111
3646,42,1,0.698837374193011,0.852777777777778
3646,42,2,0.684934964279425,0.85
4119,27,1,0.86794733044733,1
4119,27,2,0.921174993643529,0.962962962962963
4119,30,1,0.718140712806862,0.944444444444444
4119,30,2,0.764946137103328,1
4119,33,1,0.676667546837503,0.814814814814815
4119,33,2,0.765800713971613,0.988888888888889
4119,36,1,0.575114718897735,0.822222222222222
4119,36,2,0.709600103843525,0.96031746031746
4119,39,1,0.600881730112651,0.880952380952381
4119,39,2,0.709038609723065,0.962962962962963
4119,42,1,0.59563038216959,0.840909090909091
4119,42,2,0.672846031682238,0.919753086419753
4250,27,1,0.856626676020058,1
4250,27,2,0.753326625071981,0.916666666666667
4250,30,1,0.746110184964674,0.916666666666667
4250,30,2,0.807474007474008,0.927777777777778
4250,33,1,0.696920133530041,0.888888888888889
4250,33,2,0.69387219411413,0.896825396825397
4250,36,1,0.739711493912999,0.900793650793651
4250,36,2,0.674280565935545,0.87962962962963
4250,39,1,0.614517625649205,0.8125
4250,39,2,0.559346476445427,0.877777777777778
4250,42,1,0.537164846707204,0.725694444444444
4250,42,2,0.559212634952766,0.888888888888889
4510,27,1,0.681996491916605,0.962962962962963
4510,27,2,0.742841478696742,0.962962962962963
4510,30,1,0.584836091887428,0.847222222222222
4510,30,2,0.704866848837437,0.972222222222222
4510,33,1,0.599648560503824,0.827777777777778
4510,33,2,0.645467032967033,0.894444444444444
4510,36,1,0.549703292103473,0.84375
4510,36,2,0.615154587476016,0.888888888888889
4510,39,1,0.552291099564172,0.861111111111111
4510,39,2,0.619814815261251,0.848765432098765
4510,42,1,0.611345394051765,0.811728395061728
4510,42,2,0.608853487023343,0.898989898989899
5042,27,1,0.820836817168339,0.916666666666667
5042,27,2,0.825237262737263,0.958333333333333
5042,30,1,0.794129115833661,0.923611111111111
5042,30,2,0.740415681156788,0.861111111111111
5042,33,1,0.693821493002527,0.884920634920635
5042,33,2,0.641983225108225,0.833333333333333
5042,36,1,0.608301801462121,0.902777777777778
5042,36,2,0.578030903337561,0.827777777777778
5042,39,1,0.56492264016177,0.763888888888889
5042,39,2,0.604680809386692,0.881944444444444
5042,42,1,0.542433126521013,0.752777777777778
5042,42,2,0.546829456420249,0.777777777777778
5236,27,1,0.74155963773069,0.833333333333333
5236,27,2,0.725311232802872,0.722222222222222
5236,30,1,0.764132940424806,0.907407407407407
5236,30,2,0.732264094601051,0.722222222222222
5236,33,1,0.766739420000289,0.898148148148148
5236,33,2,0.687781636828542,0.722222222222222
5236,36,1,0.768985088985089,0.977777777777778
5236,36,2,0.667666100528701,0.861111111111111
5236,39,1,0.747301416532186,0.927083333333333
5236,39,2,0.732900541099251,0.916666666666667
5236,42,1,0.549578804747837,0.822222222222222
5236,42,2,0.570272823024884,0.794444444444444
