"","x"
"726","Slc4a2"
"727","Prkag2"
"728","1700096K18Rik"
"729","Insig1"
"730","Ube3c"
"731","Selenoi"
"732","Cenpa"
"733","Krtcap3"
"734","AI839979"
"735","Fosl2"
"736","Ppp1cb"
"737","Yes1"
"738","Ctbp1"
"739","Maea"
"740","Uvssa"
"741","Letm1"
"742","Gm1673"
"743","Mxd4"
"744","Fam193a"
"745","Sh3bp2"
"746","Add1"
"747","Mfsd10"
"748","Wdr1"
"749","Rab28"
"750","Bod1l"
"751","Cpeb2"
"752","Fbxl5"
"753","Bst1"
"754","Lcorl"
"755","Pi4k2b"
"756","Stim2"
"757","0610040J01Rik"
"758","Rell1"
"759","Pgm2"
"760","Tbc1d1"
"761","Gm20033"
"762","Rfc1"
"763","Ugdh"
"764","Smim14"
"765","N4bp2"
"766","Rhoh"
"767","9130230L23Rik"
"768","Bend4"
"769","Gm26756"
"770","Gnpda2"
"771","Tec"
"772","Slain2"
"773","Usp46"
"774","Kit"
"775","Srd5a3"
"776","Tmem165"
"777","Clock"
"778","Srp72"
"779","Hopx"
"780","Rest"
"781","Stap1"
"782","Uba6"
"783","Dck"
"784","Ankrd17"
"785","Cxcl3"
"786","Cxcl2"
"787","Areg"
"788","G3bp2"
"789","Naaa"
"790","Mrpl1"
"791","Anxa3"
"792","Gm33370"
"793","Gm8013"
"794","Bmp2k"
"795","Lin54"
"796","Plac8"
"797","Coq2"
"798","Mrps18c"
"799","Spp1"
"800","BC005561"
"801","Gbp9"
"802","Lrrc8d"
"803","Zfp644"
"804","Evi5"
"805","Rpl5"
"806","Mtf2"
"807","Tmed5"
"808","Atp5k"
"809","Gtpbp6"
"810","Golga3"
"811","Ep400"
"812","Srrd"
"813","Hps4"
"814","Ssh1"
"815","Mvk"
"816","Oasl2"
"817","Gm13822"
"818","Oasl1"
"819","Acads"
"820","Mlec"
"821","Rnf10"
"822","Dynll1"
"823","Rplp0"
"824","Gcn1"
"825","Bicdl1"
"826","Prkab1"
"827","Taok3"
"828","2410131K14Rik"
"829","Slc8b1"
"830","Ddx54"
"831","Oas2"
"832","Oas3"
"833","Oas1a"
"834","Ptpn11"
"835","Rpl6"
"836","Trafd1"
"837","Aldh2"
"838","Sh2b3"
"839","Ccdc63"
"840","Pptc7"
"841","Gpn3"
"842","Atp2a2"
"843","P2rx4"
"844","Camkk2"
"845","Rhof"
"846","Setd1b"
"847","Psmd9"
"848","Gm43813"
"849","Hcar2"
"850","Denr"
"851","Hip1r"
"852","Vps37b"
"853","Kmt5a"
"854","Rilpl2"
"855","Scarb1"
"856","Bri3bp"
"857","Aacs"
"858","Mrps17"
"859","Vkorc1l1"
"860","Gusb"
"861","Asl"
"862","Rabgef1"
"863","Ncf1"
"864","Rfc2"
"865","Lat2"
"866","Tmem120a"
"867","Ywhag"
"868","Ssc4d"
"869","Prkrip1"
"870","Cldn15"
"871","Znhit1"
"872","Plod3"
"873","Ap1s1"
"874","Srrt"
"875","Pop7"
"876","Gigyf1"
"877","Mospd3"
"878","Sap25"
"879","Gm36551"
"880","Pilrb2"
"881","Lamtor4"
"882","Map11"
"883","6330418K02Rik"
"884","Fam20c"
"885","Gm5294"
"886","3110082I17Rik"
"887","Gpr146"
"888","Zfand2a"
"889","Chst12"
"890","Foxk1"
"891","Fbxl18"
"892","Actb"
"893","Lmtk2"
"894","Tecpr1"
"895","Trrap"
"896","Pdap1"
"897","Cpsf4"
"898","Usp12"
"899","Gtf3a"
"900","Mtif3"
"901","Pomp"
"902","Ubl3"
"903","2310047D07Rik"
"904","Gm29264"
"905","Fry"
"906","Gm20559"
"907","Samd9l"
"908","Bet1"
"909","Casd1"
"910","Sem1"
"911","Asns"
"912","C1galt1"
"913","Rpa3"
"914","Ndufa4"
"915","Phf14"
"916","Tes"
"917","Lsm8"
"918","Zfp800"
"919","Rbm28"
"920","Hilpda"
"921","Klhdc10"
"922","Copg2"
"923","Tmem140"
"924","Cyren"
"925","Ubn2"
"926","Fmc1"
"927","Hipk2"
"928","Parp12"
"929","Gm49041"
"930","Slc37a3"
"931","Ndufb2"
"932","Braf"
"933","E330009J07Rik"
"934","Ssbp1"
"935","Clec5a"
"936","Mgam"
"937","Zfp746"
"938","Zfp467"
"939","Gimap9"
"940","Tra2a"
"941","Ccdc126"
"942","Gsdme"
"943","Cycs"
"944","Snx10"
"945","Hibadh"
"946","Znrf2"
"947","Nod1"
"948","Ggct"
"949","Lsm5"
"950","Nt5c3"
"951","Herc6"
"952","Tigd2"
"953","Serbp1"
"954","Krcc1"
"955","Kdm3a"
"956","Immt"
"957","Polr1a"
"958","St3gal5"
"959","Usp39"
"960","0610030E20Rik"
"961","Vamp5"
"962","Mat2a"
"963","Capg"
"964","Tgoln1"
"965","Tmsb10"
"966","Mrpl19"
"967","Pole4"
"968","Hk2"
"969","Gm38843"
"970","Ino80b"
"971","Mthfd2"
"972","Tet3"
"973","Stambp"
"974","Tex261"
"975","Sfxn5"
"976","Pradc1"
"977","Snrpg"
"978","Tia1"
"979","C87436"
"980","Asprv1"
"981","Gmcl1"
"982","Nfu1"
"983","Gfpt1"
"984","Isy1"
"985","Rpn1"
"986","Mgll"
"987","Chst13"
"988","Zxdc"
"989","Slc41a3"
"990","Xpc"
"991","Ccdc174"
"992","Foxp1"
"993","Eif4e3"
"994","Gpr27"
"995","Prok2"
"996","Gm26748"
"997","Bhlhe40"
"998","Edem1"
"999","Camk1"
"1000","Vhl"
"1001","D830050J10Rik"
"1002","Tmem40"
"1003","Rpl32"
"1004","Zfand4"
"1005","March8"
"1006","Alox5"
"1007","Bms1"
"1008","Fbxl14"
"1009","Erc1"
"1010","Wnk1"
"1011","Kdm5a"
"1012","Atp6v1e1"
"1013","Usp18"
"1014","M6pr"
"1015","Gm16556"
"1016","Slc2a3"
"1017","Clec4a1"
"1018","Clec4a3"
"1019","Clec4a2"
"1020","Clec4n"
"1021","Clec4d"
"1022","Clec4e"
"1023","C1rl"
"1024","Lpcat3"
"1025","Atn1"
"1026","Tpi1"
"1027","Usp5"
"1028","Ptms"
"1029","Chd4"
"1030","Gapdh"
"1031","Mrpl51"
"1032","Tapbpl"
"1033","Scnn1a"
"1034","Cd9"
"1035","Gm28809"
"1036","Ccnd2"
"1037","Gm15987"
"1038","Clec12a"
"1039","Gabarapl1"
"1040","Klra17"
"1041","Klra2"
"1042","Smim10l1"
"1043","Etv6"
"1044","Dusp16"
"1045","Crebl2"
"1046","Hebp1"
"1047","Plbd1"
"1048","Arhgdib"
"1049","Eps8"
"1050","Dera"
"1051","Mgst1"
"1052","Cmas"
"1053","Etnk1"
"1054","Lrmp"
"1055","Etfrf1"
"1056","2010013B24Rik"
"1057","Itpr2"
"1058","Ints13"
"1059","Tm7sf3"
"1060","Med21"
"1061","Mrps35"
"1062","Klhl42"
"1063","Etfbkmt"
"1064","Amn1"
"1065","Resf1"
"1066","Tarm1"
"1067","Ndufa3"
"1068","Prpf31"
"1069","Tsen34"
"1070","Pirb"
"1071","Pira2"
"1072","Gm14548"
"1073","Lilra6"
"1074","Lair1"
"1075","Leng9"
"1076","Tnnt1"
"1077","Rpl28"
"1078","Zfp865"
"1079","Rps5"
"1080","Ccdc9"
"1081","Zc3h4"
"1082","Tmem160"
"1083","Ap2s1"
"1084","Prkd2"
"1085","Ptgir"
"1086","Pglyrp1"
"1087","Irf2bp1"
"1088","Snrpd2"
"1089","Eml2"
"1090","Opa3"
"1091","Vasp"
"1092","Fosb"
"1093","Trappc6a"
"1094","Relb"
"1095","Apoc2"
"1096","Apoe"
"1097","Nectin2"
"1098","Bcl3"
"1099","Gm16174"
"1100","Smg9"
"1101","Plaur"
"1102","Ethe1"
"1103","Cd177"
"1104","Ceacam10"
"1105","Rps19"
"1106","Ceacam1"
"1107","Tgfb1"
"1108","Blvrb"
"1109","Pld3"
"1110","Zfp780b"
"1111","Med29"
"1112","Paf1"
"1113","Samd4b"
"1114","Nfkbib"
"1115","Sirt2"
"1116","Rinl"
"1117","Ech1"
"1118","Spint2"
"1119","Capns1"
"1120","Tbcb"
"1121","Polr2i"
"1122","Sdhaf1"
"1123","Nfkbid"
"1124","Dmkn"
"1125","Ffar2"
"1126","Pdcd2l"
"1127","Gpi1"
"1128","Cebpa"
"1129","Pdcd5"
"1130","1600014C10Rik"
"1131","Pop4"
"1132","Gm37494"
"1133","AI987944"
"1134","Siglecf"
"1135","Etfb"
"1136","Vsig10l"
"1137","Gm2511"
"1138","Zfp719"
"1139","Josd2"
"1140","Emc10"
"1141","Napsa"
"1142","Nup62"
"1143","Pnkp"
"1144","Rps11"
"1145","Trpm4"
"1146","Gys1"
"1147","Bax"
"1148","Ppp1r15a"
"1149","Rasip1"
"1150","Sphk2"
"1151","Emp3"
"1152","Ush1c"
"1153","Saa3"
"1154","Ldha"
"1155","Gm32031"
"1156","Mrgpra2a"
"1157","Mrgpra2b"
"1158","Svip"
"1159","Cyfip1"
"1160","Herc2"
"1161","Ube3a"
"1162","Mphosph10"
"1163","Mcee"
"1164","Selenos"
"1165","Asb7"
"1166","Igf1r"
"1167","Arrdc4"
"1168","Gm44689"
"1169","Chd2"
"1170","Slco3a1"
"1171","Isg20"
"1172","Abhd2"
"1173","Nmb"
"1174","Pde8a"
"1175","Rps17"
"1176","Tlnrd1"
"1177","Fah"
"1178","Ctsc"
"1179","E230029C05Rik"
"1180","Crebzf"
"1181","4632427E13Rik"
"1182","Ndufc2"
"1183","Pak1"
"1184","Acer3"
"1185","Emsy"
"1186","Dgat2"
"1187","Rps3"
"1188","Spcs2"
"1189","Rnf169"
"1190","Coa4"
"1191","Mrpl48"
"1192","Rab6a"
"1193","P2ry6"
"1194","Atg16l2"
"1195","Pde2a"
"1196","Anapc15"
"1197","Il18bp"
"1198","Rnf121"
"1199","Nup98"
"1200","Pgap2"
"1201","Trim30a"
"1202","Ilk"
"1203","Lmo1"
"1204","Swap70"
"1205","Rnf141"
"1206","Ctr9"
"1207","Far1"
"1208","Nucb2"
"1209","Rps15a"
"1210","Itpripl2"
"1211","Gde1"
"1212","Knop1"
"1213","Lyrm1"
"1214","Mettl9"
"1215","Prkcb"
"1216","Nsmce1"
"1217","Il4ra"
"1218","D430042O09Rik"
"1219","Rabep2"
"1220","Sh2b1"
"1221","Eif3c"
"1222","Il27"
"1223","Nupr1"
"1224","Bola2"
"1225","Mapk3"
"1226","Gdpd3"
"1227","Tbc1d10b"
"1228","Sept1"
"1229","Dctpp1"
"1230","Srcap"
"1231","Phkg2"
"1232","Ccdc189"
"1233","Bcl7c"
"1234","Bckdk"
"1235","Pycard"
"1236","Itgam"
"1237","Itgax"
"1238","Ate1"
"1239","Fam53b"
"1240","Abraxas2"
"1241","Zranb1"
"1242","5830432E09Rik"
"1243","9430038I01Rik"
"1244","Bnip3"
"1245","Adam8"
"1246","Echs1"
"1247","Ifitm1"
"1248","Ifitm3"
"1249","Ifitm6"
"1250","Rnh1"
"1251","Irf7"
"1252","Rplp2"
"1253","Pnpla2"
"1254","Polr2l"
"1255","Ap2a2"
"1256","Tnni2"
"1257","Tspan32"
"1258","Cd81"
"1259","Tssc4"
"1260","Nap1l4"
"1261","Tnfrsf23"
"1262","Ppfia1"
"1263","Arhgef18"
"1264","Stxbp2"
"1265","Retn"
"1266","Fcor"
"1267","Timm44"
"1268","Arglu1"
"1269","Tnfsf13b"
"1270","Irs2"
"1271","Rab20"
"1272","Arhgef7"
"1273","Atp11a"
"1274","F10"
"1275","Lamp1"
"1276","Tfdp1"
"1277","Upf3a"
"1278","Erich1"
"1279","Agpat5"
"1280","Vps36"
"1281","Plekha2"
"1282","D830025C05Rik"
"1283","Zfp703"
"1284","Nrg1"
"1285","Wrn"
"1286","Tex15"
"1287","Ppp2cb"
"1288","Gsr"
"1289","Dctn6"
"1290","Ppp1r3b"
"1291","Eri1"
"1292","Lonrf1"
"1293","Cnot7"
"1294","Vps37a"
"1295","B430010I23Rik"
"1296","Pcm1"
"1297","Ankrd37"
"1298","Cfap97"
"1299","Acsl1"
"1300","Casp3"
"1301","Ing2"
"1302","Spcs3"
"1303","Scrg1"
"1304","Sap30"
"1305","2500002B13Rik"
"1306","Hmgb2"
"1307","Galnt7"
"1308","Hpf1"
"1309","Clcn3"
"1310","Ddx60"
"1311","Msmo1"
"1312","Tmem192"
"1313","Ndufa13"
"1314","Rfxank"
"1315","Rex1bd"
"1316","Uba52"
"1317","Isyna1"
"1318","Ssbp4"
"1319","Lsm4"
"1320","Jund"
"1321","Ifi30"
"1322","Mast3"
"1323","Arrdc2"
"1324","Haus8"
"1325","Babam1"
"1326","Bst2"
"1327","Pgls"
"1328","Jak3"
"1329","Cyp4f18"
"1330","Hsh2d"
"1331","Eps15l1"
"1332","Smim7"
"1333","Tmem38a"
"1334","Hmgxb4"
"1335","Tom1"
"1336","Tmem184c"
"1337","Rbmxl1"
"1338","Lsm6"
"1339","Smad1"
"1340","Smarca5"
"1341","Usp38"
"1342","Il15"
"1343","Zfp330"
"1344","Elmod2"
"1345","Ndufb7"
"1346","Tecr"
"1347","Dnajb1"
"1348","Gipc1"
"1349","Ddx39"
"1350","Rfx1"
"1351","Gm26532"
"1352","Zswim4"
"1353","Lyl1"
"1354","Rad23a"
"1355","Dnase2a"
"1356","Prdx2"
"1357","Dhps"
"1358","Wdr83os"
