"perturbation","baseline_mean","perturbed_mean","mean_shift","abs_mean_shift","rank"
"Relb_Jund",0.356477155312452,0.340696314617215,-0.0157808406952377,0.0157808406952377,96
"Sp3_Jund",0.356477155312452,0.340696314617215,-0.0157808406952377,0.0157808406952377,97
"Ets2",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,98
"Per1",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,99
"Per1_Ets2",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,100
"Per1_Relb",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,101
"Relb",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,102
"Relb_Ets2",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,103
"Sp3",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,104
"Sp3_Ets2",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,105
"Sp3_Per1",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,106
"Sp3_Relb",0.356477155312452,0.337645521386776,-0.0188316339256769,0.0188316339256769,107
"Stat1_Ets1",0.356477155312452,0.323187281923592,-0.0332898733888607,0.0332898733888607,108
"Cebpa_Ets1",0.356477155312452,0.320480645623337,-0.0359965096891151,0.0359965096891151,109
"Nfkb2_Ets1",0.356477155312452,0.31071496711938,-0.0457621881930724,0.0457621881930724,110
"Ctnnb1_Ets1",0.356477155312452,0.309492403566954,-0.0469847517454981,0.0469847517454981,111
"Jun_Ets1",0.356477155312452,0.306667548744237,-0.0498096065682154,0.0498096065682154,112
"Egr1_Ets1",0.356477155312452,0.306399037644963,-0.0500781176674893,0.0500781176674893,113
"Jund_Ets1",0.356477155312452,0.305947681277946,-0.0505294740345063,0.0505294740345063,114
"Hif1a_Ets1",0.356477155312452,0.304836419936546,-0.0516407353759062,0.0516407353759062,115
"Ets1",0.356477155312452,0.301371065377839,-0.055106089934613,0.055106089934613,116
"Ets2_Ets1",0.356477155312452,0.301371065377839,-0.055106089934613,0.055106089934613,117
"Per1_Ets1",0.356477155312452,0.301371065377839,-0.055106089934613,0.055106089934613,118
"Relb_Ets1",0.356477155312452,0.301371065377839,-0.055106089934613,0.055106089934613,119
"Sp3_Ets1",0.356477155312452,0.301371065377839,-0.055106089934613,0.055106089934613,120
