"seed","total_edges","network","AUPRC_act","AUPRC_inh"
1419,42,1,0.471287878787879,0.388303013513097
1419,42,2,0.471099887766554,0.338873106060606
1434,27,1,0.77,0.639930555555556
1434,27,2,0.671858974358974,0.761291183139923
1434,30,1,0.71125,0.593440934065934
1434,30,2,0.522222222222222,0.70639992839241
1434,33,1,0.740079365079365,0.589583333333333
1434,33,2,0.695016339869281,0.588572736787023
1434,36,1,0.586309523809524,0.539153218105424
1434,36,2,0.582575757575758,0.581280921459493
1434,39,1,0.444264069264069,0.432005494505495
1434,39,2,0.420165945165945,0.448557692307692
1434,42,1,0.361972789115646,0.414512165019264
1434,42,2,0.511784511784512,0.360839633659106
1477,27,1,0.741823308270677,0.571630036630037
1477,27,2,0.811904761904762,0.513945578231292
1477,30,1,0.538918951418952,0.52297619047619
1477,30,2,0.613359788359788,0.505128205128205
1477,33,1,0.564997804128239,0.683526440879382
1477,33,2,0.485361552028219,0.605498866213152
1477,36,1,0.542047304547305,0.544312169312169
1477,36,2,0.554106280193237,0.504839544513458
1477,39,1,0.62326183917093,0.514148351648352
1477,39,2,0.604038461538461,0.507161654135338
1477,42,1,0.549080086580087,0.438669108669109
1477,42,2,0.592857142857143,0.442436594202898
1594,27,1,0.891975308641975,0.640909090909091
1594,27,2,0.768374218374218,0.638333333333333
1594,30,1,0.724642857142857,0.387019230769231
1594,30,2,0.66745867768595,0.336666666666667
1594,33,1,0.617380952380952,0.424044365220836
1594,33,2,0.563924711651984,0.281818181818182
1594,36,1,0.625873015873016,0.454000999000999
1594,36,2,0.549480822208095,0.294945054945055
1594,39,1,0.574697802197802,0.424254079254079
1594,39,2,0.466795696321558,0.273975155279503
1594,42,1,0.59439841767428,0.318759103641457
1594,42,2,0.505215996125087,0.259230769230769
1612,27,1,0.717013888888889,0.660952380952381
1612,27,2,0.735515873015873,0.781150793650794
1612,30,1,0.625109068968718,0.806909430438842
1612,30,2,0.682291666666667,0.705909863945578
1612,33,1,0.582920725108225,0.576994434137291
1612,33,2,0.613607171337434,0.557059314954052
1612,36,1,0.494047619047619,0.577922077922078
1612,36,2,0.546724629537129,0.487941919191919
1612,39,1,0.542388398638399,0.633177437641723
1612,39,2,0.674196428571428,0.490497835497835
1612,42,1,0.405272301228184,0.46701117509941
1612,42,2,0.487712287712288,0.390021008403361
2120,27,1,0.743229166666667,0.858441558441558
2120,27,2,0.71765873015873,0.887896825396825
2120,30,1,0.621914160401003,0.558244206773619
2120,30,2,0.627293417366947,0.772925420168067
2120,33,1,0.62485119047619,0.699968671679198
2120,33,2,0.483673469387755,0.834525791668649
2120,36,1,0.486359126984127,0.901830808080808
2120,36,2,0.446473665223665,0.859958692101549
2120,39,1,0.450493950493951,0.646229118104118
2120,39,2,0.444047619047619,0.731449502878074
2120,42,1,0.411435786435786,0.459986541236541
2120,42,2,0.438854003139717,0.42189516832374
2569,27,1,0.695436507936508,0.744312169312169
2569,27,2,0.722829131652661,0.606984126984127
2569,30,1,0.680555555555556,0.670284477427335
2569,30,2,0.703240740740741,0.622222222222222
2569,33,1,0.648958333333333,0.527900583821637
2569,33,2,0.619404761904762,0.577715924426451
2569,36,1,0.677686631672139,0.460119047619048
2569,36,2,0.643840579710145,0.552066798941799
2569,39,1,0.66797052154195,0.504871560461623
2569,39,2,0.6002849002849,0.597566526610644
2569,42,1,0.577579365079365,0.307627651147872
2569,42,2,0.461888728555395,0.378519580909287
3219,27,1,0.834876543209877,0.850974025974026
3219,27,2,0.863445378151261,0.861666666666667
3219,30,1,0.718115079365079,0.828102877514642
3219,30,2,0.751681286549708,0.618730158730159
3219,33,1,0.521693490962266,0.769424522845575
3219,33,2,0.590871212121212,0.663131313131313
3219,36,1,0.524701207883026,0.620291514041514
3219,36,2,0.722363636363636,0.60025641025641
3219,39,1,0.562963803872895,0.494454999391061
3219,39,2,0.629700854700855,0.570665113871636
3219,42,1,0.450459023734886,0.551527777777778
