"seed","total_edges","network","AUPRC_act","AUPRC_inh"
3646,42,2,0.631084656084656,0.62936854228871
4119,27,1,0.674659863945578,0.762571951857666
4119,27,2,0.535714285714286,0.708714698000412
4119,30,1,0.652250900360144,0.561279461279461
4119,30,2,0.574985994397759,0.578048221880459
4119,33,1,0.626839826839827,0.574501424501424
4119,33,2,0.566075605680869,0.455930335097002
4119,36,1,0.612864671560324,0.477016888340418
4119,36,2,0.561648629148629,0.459755334574175
4119,39,1,0.561027687590188,0.43693260930103
4119,39,2,0.598825017575017,0.355538628038628
4119,42,1,0.571008852258852,0.600918964076859
4119,42,2,0.565326617826618,0.422186100792912
4250,27,1,0.818681318681319,0.763751526251526
4250,27,2,0.812553582038876,0.565277777777778
4250,30,1,0.664285714285714,0.628712121212121
4250,30,2,0.747357503607504,0.55401936026936
4250,33,1,0.542857142857143,0.643206793206793
4250,33,2,0.691240264221631,0.491330891330891
4250,36,1,0.567857142857143,0.653095238095238
4250,36,2,0.691240264221631,0.491330891330891
4250,39,1,0.51031746031746,0.586940836940837
4250,39,2,0.545386904761905,0.453319622205492
4250,42,1,0.398469065656566,0.629967948717948
4250,42,2,0.448069291819292,0.413324175824176
4510,27,1,0.7,0.427857142857143
4510,27,2,0.527777777777778,0.555238095238095
4510,30,1,0.606060606060606,0.381774891774892
4510,30,2,0.550198412698413,0.597982456140351
4510,33,1,0.5,0.335984848484848
4510,33,2,0.632252370645228,0.537698412698413
4510,36,1,0.465432098765432,0.296135531135531
4510,36,2,0.567231892757103,0.451010101010101
4510,39,1,0.438624338624339,0.324382284382284
4510,39,2,0.532644339787197,0.45998445998446
4510,42,1,0.390034965034965,0.365952380952381
4510,42,2,0.462865953490953,0.404960317460317
5042,27,1,0.8203125,0.502910052910053
5042,27,2,0.661755952380952,0.694444444444445
5042,30,1,0.641833751044277,0.466770041349873
5042,30,2,0.581086601307189,0.736309523809524
5042,33,1,0.48003848003848,0.392517006802721
5042,33,2,0.498313492063492,0.85421626984127
5042,36,1,0.520845096932053,0.356227106227106
5042,36,2,0.498959901813163,0.726190476190476
5042,39,1,0.440221661054994,0.426339939247548
5042,39,2,0.40738011988012,0.812467294610152
5042,42,1,0.390183581850248,0.265815781440781
5042,42,2,0.361111111111111,0.82029280243566
5236,27,1,0.646590909090909,0.816195436507937
5236,27,2,0.432879818594104,0.814702547685741
5236,30,1,0.582634032634033,0.806100288600289
5236,30,2,0.368309468309468,0.863541666666667
5236,33,1,0.500992063492063,0.683975052725053
5236,33,2,0.396378830025447,0.597377795815296
5236,36,1,0.526449836927778,0.669769516198088
5236,36,2,0.402395983645984,0.517155157644288
5236,39,1,0.525664629488159,0.734450040700041
5236,39,2,0.452300437083046,0.570151814559709
5236,42,1,0.469139194139194,0.495344932844933
5236,42,2,0.386988011988012,0.411389826585905
6072,27,1,0.895833333333333,0.631377551020408
6072,27,2,0.458333333333333,0.772988816738817
6072,30,1,0.576666666666667,0.659878863826232
6072,30,2,0.550163398692811,0.566852744885833
6072,33,1,0.435714285714286,0.648363095238095
6072,33,2,0.49766081871345,0.626988447992284
6072,36,1,0.419047619047619,0.597738095238095
6072,36,2,0.556944444444444,0.604624796046365
6072,39,1,0.458447204968944,0.465152116402117
6072,39,2,0.462518037518038,0.551371930538597
6072,42,1,0.451142857142857,0.416108671992693
6072,42,2,0.42467291967292,0.496036599778111
6534,27,1,0.521693121693122,0.682912457912458
6534,27,2,0.639487179487179,0.809753787878788
6534,30,1,0.493021838364976,0.561993464052288
6534,30,2,0.575595238095238,0.683895087755382
6534,33,1,0.503571428571429,0.416130298273155
