"seed","total_edges","network","AUPRC_act","AUPRC_inh"
2569,42,2,0.474080086580087,0.266540750915751
3219,27,1,0.459979666797849,0.582823129251701
3219,27,2,0.554593837535014,0.834615384615385
3219,30,1,0.417675127902401,0.520416499933307
3219,30,2,0.500632262474368,0.697222222222222
3219,33,1,0.395111887453785,0.486021601623105
3219,33,2,0.476948051948052,0.544047619047619
3219,36,1,0.386416235279872,0.44695165945166
3219,36,2,0.442912698412698,0.500862794612795
3219,39,1,0.362018242700061,0.442810872702177
3219,39,2,0.41969474969475,0.46219806763285
3219,42,1,0.34114022080323,0.429450826950827
3219,42,2,0.411265630920803,0.422092352092352
3646,27,1,0.666482843137255,0.641228991596638
3646,27,2,0.450104657247514,0.671033868092692
3646,30,1,0.657291666666666,0.497178130511464
3646,30,2,0.402380952380953,0.649362041467304
3646,33,1,0.641666666666667,0.460682219015552
3646,33,2,0.345229000691186,0.631818181818182
3646,36,1,0.550109989648033,0.391736551156841
3646,36,2,0.326351593268887,0.524901185770751
3646,39,1,0.545014880952381,0.384852493185826
3646,39,2,0.311997526283241,0.403302253302253
3646,42,1,0.531994047619047,0.343396418396418
3646,42,2,0.27812925170068,0.389376523859282
4119,27,1,0.781349206349206,0.47369178440607
4119,27,2,0.481845238095238,0.588869047619048
4119,30,1,0.662625791057164,0.418027210884354
4119,30,2,0.375434757236228,0.54187656641604
4119,33,1,0.596741221741222,0.335487528344671
4119,33,2,0.363050856307435,0.459940476190476
4119,36,1,0.449141525409641,0.31281179138322
4119,36,2,0.353025793650794,0.387941683919945
4119,39,1,0.432517328350662,0.287705358823371
4119,39,2,0.284902597402597,0.375399877899878
4119,42,1,0.37029935750524,0.258081204509776
4119,42,2,0.278492340992341,0.353650793650794
4250,27,1,0.618944597069597,0.841346153846154
4250,27,2,0.527648567844646,0.4
4250,30,1,0.550396825396825,0.770833333333333
4250,30,2,0.480653759820427,0.294444444444444
4250,33,1,0.471309072871573,0.570833333333333
4250,33,2,0.436268522138087,0.25
4250,36,1,0.381821303696304,0.531150793650794
4250,36,2,0.436268522138087,0.25
4250,39,1,0.350216623654124,0.500520833333333
4250,39,2,0.389284789284789,0.22360248447205
4250,42,1,0.330224636474636,0.466666666666667
4250,42,2,0.364429089429089,0.19017094017094
4510,27,1,0.504250841750842,0.421031746031746
4510,27,2,0.476349206349206,0.586139455782313
4510,30,1,0.44785341972842,0.373115079365079
4510,30,2,0.417435064935065,0.456020377648667
4510,33,1,0.438383722758723,0.303670634920635
4510,33,2,0.382492784992785,0.453388798701299
4510,36,1,0.4155916999667,0.248406685906686
4510,36,2,0.373023088023088,0.394244991119991
4510,39,1,0.381554903429903,0.245159932659933
4510,39,2,0.341657509157509,0.359207112332112
4510,42,1,0.350923035298035,0.218759018759019
4510,42,2,0.299871933621934,0.356001984126984
5042,27,1,0.872619047619048,0.495238095238095
5042,27,2,0.641402116402116,0.484821428571429
5042,30,1,0.771645865505515,0.426528944911298
5042,30,2,0.527289915966387,0.472916666666667
5042,33,1,0.613384763384763,0.384681637806638
5042,33,2,0.482837301587302,0.387103174603175
5042,36,1,0.596441642093816,0.381110209235209
5042,36,2,0.462101515634124,0.328571428571429
5042,39,1,0.590644540644541,0.316467876929833
5042,39,2,0.439760378510379,0.298958333333333
5042,42,1,0.577946127946128,0.269422244422244
5042,42,2,0.434265873015873,0.254487179487179
5236,27,1,0.544270833333333,0.543584656084656
5236,27,2,0.559077380952381,0.563546918767507
5236,30,1,0.520833333333333,0.465784832451499
5236,30,2,0.509970238095238,0.555376984126984
5236,33,1,0.475669642857143,0.434132996632997
5236,33,2,0.436361737677527,0.42734126984127
5236,36,1,0.439867424242424,0.416624579124579
5236,36,2,0.370632665945166,0.416989302967564
5236,39,1,0.397443181818182,0.409048821548821
5236,39,2,0.346385770027074,0.388643023643024
5236,42,1,0.361378205128205,0.358016983016983
5236,42,2,0.286756993006993,0.371060606060606
6072,27,1,0.745238095238095,0.56875
6072,27,2,0.448214285714286,0.776276486671224
6072,30,1,0.725793650793651,0.461699703804967
6072,30,2,0.434488795518207,0.692070013320013
6072,33,1,0.590740740740741,0.436580086580087
6072,33,2,0.409763993316625,0.675267974778844
6072,36,1,0.56010101010101,0.399425423061787
6072,36,2,0.373445767195767,0.671282467532467
6072,39,1,0.555270092226614,0.371254671254671
6072,39,2,0.340791847041847,0.645380175380175
6072,42,1,0.551212121212121,0.355321689804448
6072,42,2,0.294307359307359,0.534773174200152
6534,27,1,0.646296296296296,0.574603174603174
6534,27,2,0.568578296703297,0.72037037037037
6534,30,1,0.491238717709306,0.552544351073763
6534,30,2,0.495188492063492,0.694226579520697
6534,33,1,0.377050264550264,0.527728174603174
6534,33,2,0.46157066993464,0.641840712893344
6534,36,1,0.336586099086099,0.411255411255411
6534,36,2,0.443923611111111,0.511038961038961
6534,39,1,0.301370851370851,0.339814814814815
6534,39,2,0.365365612648221,0.453174603174603
6534,42,1,0.293963443963444,0.286519961519961
6534,42,2,0.315397102897103,0.438888888888889
